,Car Brand,Model,Price,Model Year,Location,Fuel,Driven (Kms),Gear,Ownership,EMI (monthly)
90,Hyundai,Creta1.6 CRDI SX PLUS AUTO,951099,2016,Hyderabad,Diesel,108963,Automatic,1,21157
91,Tata,TiagoXT 1.2 REVOTRON,403899,2016,Hyderabad,Petrol,126689,Manual,2,8985
92,Maruti,S CrossZETA 1.3,713499,2017,Hyderabad,Diesel,175035,Manual,1,15871
93,Hyundai,Elite i20ASTA 1.4 CRDI,592199,2016,Hyderabad,Diesel,118470,Manual,1,13173
94,Toyota,Innova Crysta2.4 VX 8 STR,1713099,2018,Hyderabad,Diesel,181973,Manual,1,38107
95,Maruti,BalenoALPHA DDIS 190,576899,2016,Hyderabad,Diesel,126738,Manual,1,12833
96,Maruti,Alto 800LXI,222399,2012,Hyderabad,Petrol,126194,Manual,2,4947
97,Maruti,Alto K10VXI,212599,2015,Hyderabad,Petrol,234628,Manual,1,4729
98,Maruti,CelerioVXI AMT,385099,2015,Hyderabad,Petrol,44444,Automatic,1,8566
99,Hyundai,Elite i201.2 SPORTS PLUS VTVT,718899,2019,Hyderabad,Petrol,5355,Manual,2,15992
100,Maruti,Alto 800LXI,266999,2015,Hyderabad,Petrol,57741,Manual,1,5939
101,Maruti,Alto 800VXI,309099,2018,Hyderabad,Petrol,22459,Manual,2,6876
102,Hyundai,i10ERA,212999,2008,Hyderabad,Petrol,92146,Manual,2,4738
103,Renault,KwidRXT,321799,2016,Hyderabad,Petrol,74017,Manual,2,7158
104,Hyundai,i10SPORTZ 1.1 IRDE2,364799,2014,Hyderabad,Petrol,75968,Manual,1,8115
105,Maruti,Wagon R 1.0VXI,337299,2013,Hyderabad,Petrol,58558,Manual,1,7503
106,Maruti,S CrossZETA 1.3 SHVS,880099,2018,Hyderabad,Diesel,68278,Manual,2,19577
107,Volkswagen,AmeoHIGHLINE 1.5,505299,2016,Hyderabad,Diesel,76574,Manual,1,11240
108,Hyundai,Santro XingGLS,172799,2007,Hyderabad,Petrol,118115,Manual,1,3844
109,Maruti,AltoLXI,195299,2011,Hyderabad,Petrol,118602,Manual,1,4344
110,Maruti,BalenoZETA 1.2 K12,624799,2016,Hyderabad,Petrol,103172,Manual,1,13898
111,Maruti,Wagon R 1.0LXI,328399,2011,Hyderabad,Petrol,20979,Manual,1,7305
112,Hyundai,i10MAGNA 1.2,307899,2010,Hyderabad,Petrol,23488,Manual,1,6849
113,Maruti,Alto 800LXI,330199,2018,Hyderabad,Petrol,7885,Manual,1,7345
114,Honda,Jazz1.2 V AT,644199,2017,Hyderabad,Petrol,17966,Automatic,1,14330
115,Ford,,542299,2016,Hyderabad,Petrol,20577,,2,12063
116,Maruti,Alto K10VXI,284899,2015,Hyderabad,Petrol,33674,Manual,1,6337
117,Maruti,Wagon R 1.0VXI,412299,2016,Hyderabad,Petrol,9692,Manual,1,9171
118,Hyundai,i10SPORTZ 1.2 AT KAPPA2,349399,2012,Hyderabad,Petrol,49548,Automatic,2,7772
119,Maruti,CelerioZXI AMT,456599,2016,Hyderabad,Petrol,33461,Automatic,1,10157
120,Maruti,Alto K10VXI,367299,2017,Hyderabad,Petrol,23583,Manual,1,8170
121,Renault,KwidRXT,308899,2016,Hyderabad,Petrol,21908,Manual,1,6871
122,Honda,CitySV MT PETROL,602199,2016,Hyderabad,Petrol,26069,Manual,1,13396
123,Maruti,Alto K10VXI (O) AMT,352499,2017,Hyderabad,Petrol,16568,Manual,1,7841
124,Maruti,AltoLXI,220299,2011,Hyderabad,Petrol,31119,Manual,1,4900
125,Maruti,Alto 800LXI,319799,2018,Hyderabad,Petrol,25725,Manual,1,7114
126,Renault,KwidRXL,375799,2017,Hyderabad,Petrol,23023,Manual,1,8359
127,Maruti,Alto K10LXI,213399,2011,Hyderabad,Petrol,47359,Manual,2,4747
128,Hyundai,i10SPORTZ 1.2 AT KAPPA2,329899,2011,Hyderabad,Petrol,47620,Automatic,2,7338
129,Hyundai,Grand i10ASTA 1.2 AT VTVT,517599,2015,Hyderabad,Petrol,35803,Automatic,1,11514
130,Renault,KwidRXT Opt,303599,2016,Hyderabad,Petrol,27623,Manual,1,6753
131,Honda,Amaze1.2 SMT I VTEC,440099,2015,Hyderabad,Petrol,37907,Manual,1,9790
132,Tata,TiagoXZA 1.2 REVOTRON,547999,2018,Hyderabad,Petrol,7582,Automatic,1,12190
133,Maruti,Alto K10LXI,223499,2011,Hyderabad,Petrol,47330,Manual,2,4972
134,Hyundai,Grand i10SPORTS 1.2 VTVT,483799,2017,Hyderabad,Petrol,18950,Manual,2,10762
135,Renault,KwidRXT 1.0 EASY-R AT OPTION,473999,2019,Hyderabad,Petrol,17078,Automatic,1,10544
136,Maruti,RitzVXI BS IV,276999,2011,Hyderabad,Petrol,65841,Manual,1,6162
137,Maruti,CelerioZXI OPT,376099,2015,Hyderabad,Petrol,43028,Manual,2,8366
138,Honda,Brio1.2 V MT I VTEC,355699,2012,Hyderabad,Petrol,32173,Manual,1,7912
139,Hyundai,Grand i10ASTA 1.2 KAPPA VTVT,496599,2017,Hyderabad,Petrol,30182,Manual,1,11047
140,Maruti,Wagon R 1.0VXI,257199,2010,Hyderabad,Petrol,65373,Manual,1,5721
141,Maruti,CelerioZXI AMT,439299,2016,Hyderabad,Petrol,34102,Automatic,1,9772
142,Hyundai,i10SPORTZ 1.2 KAPPA2,336299,2012,Hyderabad,Petrol,65288,Manual,1,7481
143,Hyundai,i10MAGNA 1.2 KAPPA2,277099,2011,Hyderabad,Petrol,70969,Manual,1,6164
144,Maruti,SwiftVXI AMT,605299,2019,Hyderabad,Petrol,26143,Automatic,2,13465
145,Honda,CityV MT PETROL,380399,2010,Hyderabad,Petrol,51549,Manual,1,8462
146,Maruti,Wagon R 1.0VXI,373599,2015,Hyderabad,Petrol,59329,Manual,1,8311
147,Maruti,Wagon R 1.0VXI,370399,2016,Hyderabad,Petrol,39789,Manual,1,8239
148,Maruti,CelerioZXI AMT,431899,2015,Hyderabad,Petrol,44574,Automatic,1,9607
149,Maruti,Swift DzireVDI OPT,690499,2017,Hyderabad,Diesel,19208,Manual,1,15360
150,Maruti,Alto K10VXI,200299,2011,Hyderabad,Petrol,73025,Manual,2,4456
151,Maruti,Wagon R 1.0VXI,381299,2015,Hyderabad,Petrol,47456,Manual,2,8482
152,Tata,TiagoXT 1.2 REVOTRON,474299,2018,Hyderabad,Petrol,10150,Manual,1,10551
153,Maruti,SwiftVDI,635799,2019,Hyderabad,Diesel,43074,Manual,2,14143
154,Hyundai,NEW SANTRO1.1 SPORTS AMT,565099,2019,Hyderabad,Petrol,11381,Manual,1,12570
155,Hyundai,i20MAGNA O 1.2,330999,2010,Hyderabad,Petrol,68124,Manual,2,7363
156,Maruti,AltoLXI,229799,2012,Hyderabad,Petrol,28434,Manual,1,5112
157,Hyundai,Elite i20ASTA 1.2,640299,2018,Hyderabad,Petrol,20816,Manual,1,14243
158,Maruti,Alto K10VXI,341799,2017,Hyderabad,Petrol,68637,Manual,2,7603
159,Maruti,Alto 800LXI,294499,2018,Hyderabad,Petrol,42143,Manual,1,6551
160,Hyundai,i20SPORTZ 1.2 O,353199,2010,Hyderabad,Petrol,63614,Manual,1,7857
161,Hyundai,Grand i10SPORTS 1.2 VTVT,476999,2016,Hyderabad,Petrol,33396,Manual,1,10611
162,Hyundai,Santro XingGL,164199,2008,Hyderabad,Petrol + LPG,84985,Manual,1,3653
163,Hyundai,i10MAGNA 1.2 KAPPA2,267899,2011,Hyderabad,Petrol,72242,Manual,3,5959
164,Hyundai,i20MAGNA O 1.4 CRDI,411899,2012,Hyderabad,Diesel,68266,Manual,2,9162
165,Maruti,BalenoDELTA 1.2 K12,703399,2020,Hyderabad,Petrol,10726,Manual,1,15647
166,Maruti,Eeco5 STR WITH AC PLUSHTR,388699,2018,Hyderabad,Petrol,25514,Manual,1,8646
167,Hyundai,i10MAGNA 1.2,255299,2009,Hyderabad,Petrol,42392,Manual,1,5679
168,Hyundai,i10SPORTZ 1.1 IRDE2,384799,2016,Hyderabad,Petrol,67396,Manual,1,8560
169,Maruti,AltoLXI,162799,2009,Hyderabad,Petrol,89568,Manual,1,3621
170,Hyundai,Grand i10SPORTZ AT 1.2 KAPPA VTVT,577499,2018,Hyderabad,Petrol,31705,Automatic,1,12846
171,Maruti,Alto K10VXI,226699,2012,Hyderabad,Petrol,62592,Manual,2,5043
172,Maruti,DzireVDI,764999,2019,Hyderabad,Diesel,21168,Manual,1,17017
173,Maruti,BalenoALPHA 1.2 K12,683199,2018,Hyderabad,Petrol,17499,Manual,1,15197
174,Hyundai,i10MAGNA 1.2 KAPPA2,314499,2012,Hyderabad,Petrol,46986,Manual,1,6996
175,Maruti,BalenoDELTA 1.2 K12,498399,2016,Hyderabad,Petrol,54916,Manual,1,11087
176,Maruti,Eeco5 STR WITH AC PLUSHTR,364999,2017,Hyderabad,Petrol,41795,Manual,1,8119
177,Maruti,DzireVDI,640399,2017,Hyderabad,Diesel,33397,Manual,1,14245
178,Maruti,BalenoALPHA DDIS 190,616699,2016,Hyderabad,Diesel,51170,Manual,1,13718
179,Renault,DusterRXL PETROL 104,529199,2016,Hyderabad,Petrol,49915,Manual,1,11772
180,Maruti,IGNISSIGMA 1.2 K12,387399,2018,Hyderabad,Petrol,54250,Manual,1,8617
181,Chevrolet,BeatPS DIESEL,221799,2013,Hyderabad,Diesel,49994,Manual,1,4934
182,Hyundai,Elite i20SPORTZ 1.2,626599,2018,Hyderabad,Petrol,26796,Manual,1,13938
183,Hyundai,Santro XingGLS,276599,2013,Hyderabad,Petrol,68484,Manual,1,6153
184,Maruti,Wagon RLXI,215299,2009,Hyderabad,Petrol,68635,Manual,2,4789
185,Honda,Brio1.2 S MT I VTEC,328499,2013,Hyderabad,Petrol,62124,Manual,1,7307
186,Hyundai,Elite i201.2 SPORTS PLUS VTVT,747099,2019,Hyderabad,Petrol,10031,Manual,2,16619
187,Hyundai,Santro XingGL,182999,2010,Hyderabad,Petrol,87080,Manual,2,4071
188,Maruti,BalenoALPHA 1.2 K12,674599,2017,Hyderabad,Petrol,59880,Manual,1,15006
189,Hyundai,Elite i20ASTA 1.2 (O),780999,2019,Hyderabad,Petrol,14908,Manual,1,17373
190,Maruti,BalenoALPHA 1.2 K12,703699,2018,Hyderabad,Petrol,16212,Manual,1,15653
191,Renault,KwidRXT,292299,2017,Hyderabad,Petrol,44566,Manual,1,6502
192,Hyundai,Elite i20ASTA 1.2 AT,744999,2018,Hyderabad,Petrol,15432,Automatic,1,16572
193,Ford,Ecosport1.5 TITANIUM PLUS TI VCT AT,850199,2018,Hyderabad,Petrol,18130,Manual,1,18912
194,Honda,Jazz1.2 V AT,491999,2015,Hyderabad,Petrol,64455,Automatic,2,10944
195,Renault,Kwid1.0 RXT Opt,406799,2019,Hyderabad,Petrol,31559,Manual,1,9049
196,Hyundai,AccentEXECUTIVE,226399,2009,Hyderabad,Petrol,82646,Manual,2,5036
197,Maruti,Swift DzireVDI OPT,556899,2016,Hyderabad,Diesel,53258,Manual,1,12388
198,Skoda,FabiaELEGANCE 1.6 MPI,222999,2011,Hyderabad,Petrol,90749,Manual,1,4960
199,Hyundai,Elite i201.4 MAGNA PLUS CRDI,572399,2019,Hyderabad,Diesel,28724,Manual,1,12733
200,Maruti,Vitara BrezzaZDI AMT,901999,2018,Hyderabad,Diesel,40172,Automatic,1,20064
201,Hyundai,i10ERA,219199,2008,Hyderabad,Petrol,63040,Manual,2,4876
202,Hyundai,VernaFLUIDIC 1.6 CRDI SX OPT AT,423499,2012,Hyderabad,Diesel,94562,Automatic,2,9421
